           REGISTRO DE FALTAS
========================================
Licencia       Fecha         Placa
96693273     10/05/2019     A6K-820
48450395     14/10/2020     Q5S-871
35683701     16/01/2019     D5W-953
50201756     28/09/2019     X8O-807
77763722     09/12/2020     W2L-827
69494747     08/02/2019     J8D-125
64532449     25/01/2019     X3Z-285
42956681     02/07/2020     E0L-862
60784914     26/04/2020     A8J-929
66849703     18/05/2019     B4N-777
77763722     08/10/2019     W2L-827
49927087     06/10/2020     X3E-271
15559308     02/01/2019     X6O-905
73818744     12/11/2020     U5N-536
35671623     20/06/2020     V4E-749
19568447     18/11/2020     D8R-235
70414420     18/10/2019     A7Y-514
51929951     16/11/2019     O8J-848
48878256     04/06/2020     Z4L-514
71832810     02/09/2019     W1C-444
21621497     23/08/2020     W5W-525
42956681     11/08/2020     L8Z-555
34248357     07/10/2019     U0T-459
71578206     23/12/2020     Y9F-491
87282766     18/06/2020     S1D-093
29833157     22/05/2019     I9F-484
54447051     07/07/2020     D5W-773
96693273     08/09/2020     C0G-556
96693273     26/04/2019     C0G-556
39544560     09/03/2020     N4J-043
48878256     10/01/2020     F2F-895
24859596     17/03/2020     A8P-118
30441350     12/05/2020     T7F-869
82031355     05/04/2019     H6X-124
90467829     03/01/2020     H1R-953
53374153     03/12/2020     V7L-069
21621497     23/09/2020     D6W-048
32244565     07/05/2020     J1E-736
84186239     18/01/2019     W9Y-717
80457845     05/05/2019     Z5G-762
88854166     17/05/2020     O0K-148
26522329     22/11/2019     U5W-825
45043076     11/06/2020     I1D-713
37080813     06/05/2020     O9W-355
53853385     01/09/2019     O5L-856
73972114     01/02/2020     J2M-606
75348522     21/08/2020     X0D-655
99950484     04/06/2020     Y9W-731
99950484     26/11/2019     L8A-167
34248357     26/02/2019     U0T-459
71832810     13/09/2019     Q3M-512
35683701     20/05/2019     D5W-953
90467829     07/08/2020     K4H-445
86429854     22/02/2020     M5U-987
63291514     18/04/2020     Z1A-459
48878256     18/10/2019     Z4L-514
47528229     29/06/2019     G8O-154
88167677     01/11/2020     O0C-616
79641328     29/06/2019     L0L-653
12270502     10/03/2019     Y5F-449
52002275     16/09/2019     C0S-417
29989682     02/09/2020     B1J-773
35912665     16/02/2019     D7L-648
42956681     08/08/2020     L8Z-555
77763722     08/01/2019     D1M-667
63736112     17/10/2019     T9A-930
16925690     11/07/2019     F3F-478
15559308     19/02/2020     T8F-368
54141214     18/07/2020     Y9G-536
87282766     27/08/2020     S1D-093
29989682     29/01/2019     W3T-571
64532449     13/03/2019     X3Z-285
85501710     27/10/2019     N2C-590
99950484     08/09/2020     Y9W-731
15559308     06/02/2020     W1S-239
30046639     08/06/2019     S3F-021
50200823     13/10/2019     H1E-399
89314225     19/06/2019     C3A-423
68310808     11/12/2020     K2N-341
12270502     17/04/2020     P7T-999
38862473     26/09/2019     I4B-541
86429854     23/08/2020     M5U-987
30441350     26/08/2020     T7F-869
16925690     14/02/2020     R7N-113
60784914     03/02/2020     C6G-842
80310768     13/04/2019     N5J-515
50201756     08/01/2020     X8O-807
27268323     22/01/2020     L6Z-161
29989682     14/12/2020     W3T-571
74325123     13/02/2020     B3H-006
35671623     25/01/2020     V4E-749
87282766     28/06/2019     S1D-093
49927087     19/09/2020     X3E-271
35671623     06/12/2020     K0T-350
35683701     24/11/2020     D5W-953
35671623     19/04/2019     V4E-749
81485316     30/08/2019     E1N-544
47528229     27/03/2019     I4H-529
16925690     03/06/2019     R7N-113
35671623     10/02/2020     V4E-749
77367073     09/06/2020     C2S-070
77763722     22/11/2019     D1M-667
82031355     08/02/2019     H6X-124
88167677     07/03/2019     Y4Y-028
35912665     15/12/2019     O4X-500
13219606     30/09/2020     T3B-722
47528229     20/12/2019     G8O-154
53374153     01/10/2019     G6I-762
37080813     11/11/2020     O9W-355
45043076     13/06/2020     I1D-713
97849227     10/02/2019     I0K-077
77367073     04/06/2020     W4W-684
71578206     12/03/2020     L4H-670
31107104     06/01/2019     E0I-722
73567806     18/03/2019     Q9D-870
60784914     07/05/2020     P4Y-758
35683701     19/08/2020     D5W-953
34248357     12/07/2019     U0T-459
50200823     04/08/2020     Q6C-943
30441350     26/01/2020     M9Z-497
82870470     05/07/2020     K0H-387
88167677     05/09/2019     B4C-100
16925690     09/08/2019     B4I-014
15029228     09/01/2019     J0Q-121
63736112     21/10/2019     K0D-676
50201756     13/12/2020     K5K-595
47528229     12/07/2019     I4H-529
49927087     04/03/2020     X3E-271
80457845     05/02/2020     M7F-612
15029228     22/12/2019     J0Q-121
73567806     03/05/2019     E2D-493
35912665     07/12/2020     O4X-500
79672079     07/11/2020     O3H-954
54447051     07/08/2020     G3Y-654
49927087     29/11/2019     M8Q-758
89314225     30/12/2020     C3A-423
69252518     14/11/2019     Y0Y-415
81485316     03/05/2020     F1O-596
30046639     15/05/2020     S3F-021
34248357     11/02/2020     S5E-231
84186239     25/04/2020     T6W-978
48878256     18/01/2019     F2F-895
52002275     23/10/2019     C0S-417
51929951     02/02/2019     O8J-848
75348522     30/12/2020     X0D-655
38862473     21/02/2020     K3B-165
66849703     04/03/2020     B4N-777
16925690     07/09/2020     R7N-113
37080813     18/12/2020     O9W-355
49927087     12/03/2020     X3E-271
35912665     27/08/2020     A6E-125
69252518     28/09/2019     Y0Y-415
45043076     18/11/2020     R1T-735
12270502     24/07/2019     P7T-999
27864822     03/02/2019     S3D-133
26522329     13/04/2020     U7R-252
50201756     28/10/2020     K5K-595
75348522     26/05/2019     P5B-640
35912665     13/12/2020     D7L-648
64532449     27/07/2020     J0V-437
15559308     05/04/2019     S3L-803
90467829     11/09/2020     X8U-894
16477908     26/02/2020     I0E-459
25518120     25/09/2020     F2C-703
88167677     03/10/2019     V7U-622
12270502     19/04/2020     P7T-999
74325123     05/11/2020     B3H-006
69252518     12/03/2019     P7I-760
32244565     08/07/2020     J1E-736
47528229     07/06/2020     G8O-154
32244565     29/07/2019     W9L-468
49428502     16/10/2020     T0V-569
13219606     04/07/2019     M2Q-712
34248357     14/05/2019     R7N-062
38862473     13/07/2019     S6Y-726
68310808     05/01/2019     K2N-341
77763722     28/12/2020     W2L-827
15559308     17/07/2020     T8F-368
50201756     22/11/2020     X8O-807
15559308     20/09/2019     S3L-803
32244565     18/11/2019     M8W-853
80310768     09/09/2020     N5J-515
50200823     03/09/2019     Q6C-943
27185429     01/04/2020     S9I-160
50201756     29/07/2019     K5K-595
45043076     07/02/2020     S7E-946
79672079     30/05/2020     Y3Q-331
35671623     26/12/2019     P2Q-870
48450395     16/07/2019     G1P-591
36079131     22/04/2019     I0W-872
54665716     16/03/2020     D2V-055
47528229     17/08/2020     U0N-343
36079131     30/04/2019     I0W-872
53853385     22/12/2019     O4X-603
85501710     19/03/2020     N2C-590
34976629     09/06/2020     I0Y-720
75945248     05/05/2020     K6X-977
26522329     26/08/2020     U7R-252
68310808     25/06/2019     X6M-077
84186239     12/11/2020     W9Y-717
37080813     17/09/2019     P7E-145
67185679     27/08/2020     S7F-983
52002275     06/12/2020     C0S-417
80457845     02/07/2020     M7F-612
25518120     20/01/2019     U1X-768
77763722     02/05/2019     W2L-827
48878256     27/10/2019     G2R-979
54447051     28/08/2020     G3Y-654
34976629     08/08/2019     I0Y-720
77367073     23/12/2020     H9A-097
39244942     27/07/2020     N5Y-450
88167677     24/04/2020     Y4Y-028
79766395     20/08/2019     N6D-256
39244942     17/09/2020     N5Y-450
90467829     19/01/2020     H1R-953
69494747     29/08/2020     J8D-125
64532449     31/10/2019     X3Z-285
53374153     26/04/2020     V7L-069
21621497     31/01/2019     Z7C-785
35671623     23/09/2019     V4E-749
27185429     04/03/2020     S9I-160
89941095     31/08/2019     P6N-119
79766395     01/03/2019     N6D-256
79766395     08/04/2020     H7P-047
48450395     06/02/2020     Q5S-871
16925690     27/08/2019     B4I-014
67185679     01/01/2020     I2P-193
73972114     07/04/2020     J2M-606
67185679     09/02/2020     F1F-571
96693273     30/04/2019     C0G-556
80457845     03/04/2019     M7F-612
38862473     22/09/2020     K3B-165
30046639     17/10/2020     L8F-459
71578206     04/11/2019     G7Z-721
52003695     20/03/2019     H8S-849
29989682     30/07/2020     W3T-571
60784914     26/06/2020     P4Y-758
34976629     01/06/2020     J8B-303
47528229     16/11/2019     G8O-154
32244565     06/11/2019     M8W-853
34248357     25/08/2020     H4R-733
87495937     12/12/2020     C5G-743
48878256     17/03/2020     G2R-979
26522329     23/12/2019     U7R-252
58992942     15/04/2020     Q6B-243
85501710     01/09/2020     Z4K-431
24859596     29/08/2020     A8P-118
77367073     09/12/2020     W4W-684
43454884     01/02/2020     G0F-080
64532449     16/12/2019     J0V-437
70414420     12/07/2019     U5T-348
71578206     11/06/2020     L4H-670
87495937     03/05/2020     L2H-207
88167677     22/08/2020     B4C-100
30046639     06/09/2019     S3F-021
30441350     02/07/2020     T7F-869
71578206     10/10/2020     L4H-670
64178096     03/01/2020     B7V-643
13628871     31/08/2020     F3E-797
73357516     12/06/2020     P1T-781
25518120     06/04/2020     F2C-703
80457845     01/07/2019     Z5G-762
70414420     26/01/2019     V9J-051
35912665     02/09/2020     O2Z-308
64532449     05/06/2019     V4I-691
35912665     10/09/2019     A6E-125
73972114     10/06/2019     D8H-157
64532449     20/12/2020     V4I-691
64178096     22/02/2020     B7V-643
73357516     21/02/2019     E6R-293
28820944     02/11/2019     H2K-127
81799482     01/05/2019     V7P-711
48878256     09/10/2019     F2F-895
75945248     07/12/2019     K6X-977
43454884     05/07/2019     G0F-080
64532449     13/07/2020     K8R-348
73567806     19/04/2019     Q9D-870
13219606     25/01/2020     T3B-722
79766395     10/08/2019     H7P-047
35912665     26/09/2019     O4X-500
30441350     15/07/2019     X0F-315
26522329     22/07/2019     W7R-114
88167677     13/06/2020     B4C-100
75945248     24/12/2020     K6X-977
47844324     14/09/2019     X7J-719
45043076     11/04/2019     R1T-735
52002275     23/07/2019     C0S-417
79766395     02/02/2020     T3R-184
49428502     06/02/2019     C0A-114
35912665     14/10/2019     O2Z-308
68310808     14/06/2019     X6M-077
73818744     30/05/2020     U5N-536
32244565     03/08/2019     K4F-319
80457845     12/03/2020     W0C-131
42956681     11/01/2020     L8Z-555
24859596     16/03/2019     B8B-326
79672079     12/06/2019     Y3Q-331
73567806     29/06/2019     W9Z-281
16477908     28/03/2020     I0E-459
74325123     02/02/2020     C2V-710
27185429     25/01/2019     U3F-754
19963454     04/06/2020     T9D-604
35297848     08/04/2019     O7D-970
31107104     29/05/2020     O3T-110
13219606     30/06/2019     N1O-921
30441350     21/11/2020     X0F-315
89941095     25/09/2019     P6T-244
99950484     29/06/2020     L8A-167
35912665     22/07/2019     O2Z-308
34976629     27/03/2019     J8B-303
68303148     07/01/2020     H1W-140
48450395     24/06/2019     H6H-085
24859596     21/06/2019     B8B-326
35683701     30/01/2019     D5W-953
69252518     20/10/2020     P7I-760
82870470     23/06/2020     K0H-387
53853385     17/07/2020     T9X-217
27864822     03/05/2019     S3D-133
60335381     06/01/2019     E6T-667
88854166     21/02/2019     H3E-885
82031355     11/12/2020     H6X-124
81528434     11/03/2019     B3U-020
54141214     18/03/2019     G2I-709
44188994     30/11/2020     M0X-657
43454884     22/05/2020     G0F-080
34248357     06/02/2019     H4R-733
53853385     21/01/2019     O4X-603
16925690     17/11/2019     B4I-014
16136330     18/12/2019     E3U-231
73972114     24/10/2019     A2F-518
64178096     06/06/2020     I0X-469
29833157     20/04/2019     I9F-484
29833157     07/04/2019     S2N-896
67185679     10/08/2019     I2P-193
30441350     12/10/2019     Q6Q-335
54447051     29/10/2019     G3Y-654
88167677     02/06/2019     V7U-622
25518120     26/07/2020     F2C-703
73357516     07/04/2020     E6R-293
13628871     30/11/2020     F3E-797
53374153     24/09/2020     R2T-476
81485316     24/08/2020     F1O-596
32090869     21/03/2020     L4B-291
16477908     01/06/2019     X9D-758
87282766     08/04/2020     S1D-093
54447051     28/02/2019     D5W-773
63291514     16/01/2020     Z1A-459
96693273     06/02/2020     A6K-820
19568447     09/05/2019     O7W-705
82031355     22/04/2019     H6X-124
85501710     23/02/2020     Z4K-431
29989682     21/07/2019     W3T-571
85501710     16/06/2020     Z4K-431
25518120     08/03/2020     U1X-768
88854166     02/07/2019     H3E-885
25518120     21/10/2020     F2C-703
32244565     29/01/2019     K4F-319
86718074     23/02/2020     L4O-783
87495937     30/07/2020     L2H-207
54447051     03/08/2020     U5L-205
31107104     23/03/2020     E0I-722
26522329     23/12/2020     W7R-114
15559308     27/11/2019     X6O-905
36079131     15/09/2020     V4S-057
88854166     24/08/2019     L3N-150
69252518     27/02/2020     Y0Y-415
64178096     25/05/2020     G3B-505
87282766     17/06/2019     S1D-093
16925690     06/07/2019     F3F-478
63291514     09/08/2020     L3W-411
35671623     21/09/2020     V4E-749
68303148     04/02/2020     H1W-140
60784914     07/09/2020     P4Y-758
52002275     06/05/2019     C0S-417
89941095     17/05/2020     P6N-119
53374153     15/03/2019     G6I-762
73357516     09/08/2019     J2K-636
34976629     16/01/2019     J8B-303
30046639     17/11/2019     S3F-021
42956681     22/03/2019     A6D-661
89314225     27/11/2019     C3A-423
34248357     24/05/2019     S5E-231
71832810     14/07/2019     T1K-210
79766395     11/04/2020     N6D-256
96693273     28/05/2019     B9X-420
48878256     18/05/2019     G2R-979
73357516     03/09/2020     J2K-636
81799482     08/09/2020     V7P-711
49428502     23/06/2019     C0A-114
15029228     01/02/2020     C0P-895
77763722     12/11/2019     A1Q-612
71578206     04/05/2019     Y9F-491
12270502     16/09/2019     Y5F-449
85501710     23/03/2019     Z4K-431
47528229     28/11/2020     I4H-529
84186239     09/05/2020     W9Y-717
19963454     07/07/2020     T9D-604
88854166     18/10/2020     H3E-885
21621497     05/06/2019     W5W-525
85501710     29/10/2019     N2C-590
69252518     08/03/2019     Y0Y-415
53853385     22/04/2019     T9X-217
81799482     08/04/2020     E3U-768
39544560     27/10/2019     N4J-043
50201756     16/10/2020     X8O-807
63736112     18/03/2019     T9A-930
96693273     03/09/2019     C0G-556
49927087     18/02/2019     M8Q-758
15115705     07/04/2019     N9Q-814
87495937     06/05/2020     Z8C-558
26522329     07/02/2020     U5W-825
50201756     31/05/2019     K5K-595
85501710     19/06/2019     Z4K-431
13219606     21/03/2019     N1O-921
44188994     29/05/2020     M0X-657
96693273     23/09/2019     F3R-138
36079131     25/01/2019     I0W-872
42956681     10/08/2019     L8Z-555
88167677     31/05/2019     O0C-616
87282766     03/10/2019     S1D-093
84186239     25/10/2019     T6W-978
67185679     23/10/2019     I2P-193
34976629     22/08/2020     I0Y-720
66849703     19/05/2019     J2F-853
19963454     21/11/2019     D9A-711
87495937     04/12/2019     M5G-669
30441350     03/07/2020     Q6Q-335
82031355     29/11/2019     H6X-124
37080813     25/03/2020     O9W-355
64178096     18/03/2019     I0X-469
35683701     11/03/2020     D5W-953
47844324     13/12/2020     X7J-719
19963454     12/01/2019     H8A-390
60784914     13/03/2019     A8J-929
67185679     19/04/2020     I2P-193
88167677     13/06/2019     B4C-100
87495937     09/08/2019     L2H-207
89314225     19/09/2019     C3A-423
86718074     25/12/2019     L4O-783
53374153     03/09/2019     V7L-069
15029228     12/10/2020     J0Q-121
48450395     04/11/2019     Q5S-871
34248357     21/06/2019     U0T-459
47844324     29/01/2019     F1H-328
81799482     20/10/2020     V7P-711
51395324     03/05/2019     M4Z-108
50200823     09/01/2020     R0P-255
73567806     20/01/2019     A7Y-833
54447051     05/08/2019     U5L-205
88854166     16/10/2020     L3N-150
81528434     16/02/2020     D6F-465
81485316     12/01/2019     J5T-691
70414420     17/03/2020     U5T-348
48878256     25/03/2019     Z4L-514
35671623     03/08/2020     K0T-350
89941095     11/02/2020     R8O-904
30441350     20/05/2020     Q6Q-335
27864822     25/12/2019     T9U-338
90467829     10/07/2020     C9H-661
16925690     06/03/2020     B4I-014
88854166     11/10/2019     H3E-885
86718074     20/04/2020     L4O-783
27185429     19/11/2019     S9I-160
31107104     08/03/2019     E0I-722
15115705     15/01/2020     N9Q-814
34248357     03/11/2020     H4R-733
53374153     21/08/2019     V7L-069
31205866     28/10/2019     U6A-456
48878256     24/02/2020     G2R-979
63736112     16/04/2019     K0D-676
77763722     08/08/2019     A1Q-612
32244565     25/08/2020     W9L-468
70414420     02/10/2019     U5T-348
77367073     16/12/2019     H9A-097
21621497     17/01/2020     R5I-860
81799482     09/03/2019     E3U-768
87495937     06/03/2019     C5G-743
81528434     08/11/2019     D6F-465
71832810     22/06/2020     Q3M-512
27185429     23/11/2019     S9I-160
54141214     28/02/2020     G2I-709
36079131     18/08/2019     I0W-872
30441350     01/09/2019     Q6Q-335
73972114     13/12/2020     J2M-606
38862473     14/03/2019     K3B-165
86718074     21/11/2020     Q6I-941
21621497     16/12/2020     D6W-048
64178096     29/08/2020     B7V-643
15115705     04/11/2019     N9Q-814
26522329     12/06/2019     W7R-114
27864822     07/10/2020     T9U-338
90467829     30/08/2020     K4H-445
24859596     08/06/2019     L6D-758
88167677     26/07/2020     Y4Y-028
32244565     08/02/2020     M8W-853
31205866     01/09/2020     U6A-456
50200823     01/11/2019     H1E-399
99950484     06/08/2019     L8A-167
79766395     26/06/2019     N6D-256
67185679     18/04/2019     F1F-571
71578206     07/09/2020     Y9F-491
80457845     03/06/2019     M7F-612
75945248     02/05/2019     K6X-977
71832810     12/04/2020     T1K-210
87495937     16/09/2019     Z8C-558
68303148     13/11/2019     H1W-140
96693273     12/11/2019     F3R-138
73818744     28/11/2020     U5N-536
35671623     27/11/2019     V4E-749
21621497     10/02/2020     R5I-860
30046639     01/11/2020     L8F-459
24859596     30/05/2020     A8P-118
43454884     25/02/2019     G0F-080
69252518     24/07/2019     P7I-760
86429854     26/02/2020     M5U-987
73567806     20/03/2020     E2D-493
34248357     14/08/2020     H4R-733
85501710     21/11/2020     Z4K-431
63736112     02/11/2019     T9A-930
86718074     16/07/2020     Q6I-941
38862473     15/09/2019     I4B-541
79672079     01/03/2020     Y3Q-331
90467829     24/08/2020     X8U-894
90467829     13/05/2019     H1R-953
27268323     25/06/2019     L6Z-161
77367073     05/12/2019     N7K-403
29833157     25/06/2020     I9F-484
74325123     02/11/2019     C2V-710
52002275     22/01/2019     C0S-417
34976629     28/08/2020     J8B-303
32244565     09/12/2020     M8W-853
67185679     02/01/2020     F1F-571
60784914     18/08/2020     C6Q-548
87495937     15/02/2019     M5G-669
80310768     15/05/2019     M1E-751
49927087     01/06/2019     X3E-271
88167677     10/04/2020     V7U-622
89941095     10/09/2020     P6N-119
86718074     17/06/2019     Q6I-941
50200823     15/02/2019     Q6C-943
81485316     15/01/2020     F1O-596
96693273     13/11/2020     C0G-556
81485316     06/02/2020     F1O-596
50201756     07/08/2020     X8O-807
50200823     28/09/2019     R0P-255
16477908     30/12/2019     W7C-957
30046639     19/12/2020     P6I-223
47528229     24/05/2020     U0N-343
60784914     25/11/2019     C6Q-548
26522329     15/06/2019     U7R-252
74325123     12/09/2019     H0E-855
71832810     14/01/2020     Q3M-512
35912665     23/03/2019     O2Z-308
99950484     30/09/2019     Y9W-731
73972114     17/03/2019     J2M-606
54447051     30/01/2019     G3Y-654
84186239     06/04/2020     T6W-978
66849703     06/07/2020     B4N-777
13219606     10/09/2020     N1O-921
25518120     01/04/2019     E1J-798
26522329     10/01/2019     W7R-114
84186239     06/04/2019     W9Y-717
87495937     11/07/2020     M5G-669
54665716     02/06/2020     D2V-055
30046639     20/04/2020     S3F-021
96693273     18/11/2020     F3R-138
21621497     26/02/2019     Z7C-785
31107104     31/12/2019     E0I-722
44188994     13/08/2020     M0X-657
82031355     09/08/2020     H6X-124
47528229     21/10/2019     U0N-343
63736112     26/01/2020     K0D-676
60784914     31/10/2019     P4Y-758
53853385     23/05/2019     R6P-267
38862473     15/05/2019     K3B-165
84186239     12/08/2019     W9Y-717
60784914     14/08/2019     P4Y-758
38862473     26/08/2019     I4B-541
67185679     24/03/2020     I2P-193
60335381     25/09/2020     E6T-667
77763722     19/03/2019     D1M-667
89941095     04/04/2019     R8O-904
44188994     06/10/2019     M0X-657
42956681     01/08/2019     L8Z-555
64178096     29/09/2019     B7V-643
80457845     12/11/2019     M7F-612
50200823     31/10/2019     R0P-255
13219606     03/01/2020     N1O-921
73567806     23/01/2020     Q9D-870
52002275     31/12/2020     C0S-417
99950484     28/05/2019     Y6I-680
82870470     06/03/2020     K0H-387
50200823     09/02/2020     R0P-255
67185679     11/07/2020     I2P-193
27864822     10/06/2019     R5C-239
68310808     07/09/2020     K2N-341
53374153     12/01/2020     V7L-069
29989682     28/02/2019     B1J-773
12858682     25/07/2020     T5L-371
63291514     29/12/2020     Z1A-459
54447051     16/08/2020     G3Y-654
48878256     06/08/2019     W6Z-142
52003695     24/11/2020     H8S-849
31107104     29/06/2020     O3T-110
34976629     28/11/2020     I0Y-720
27864822     18/03/2019     T9U-338
48528209     04/04/2020     T9L-709
68310808     14/07/2020     K2N-341
30441350     21/05/2020     X0F-315
63291514     27/09/2019     Z1A-459
70414420     09/01/2020     V9J-051
36079131     25/06/2019     I0W-872
81799482     07/10/2019     V7P-711
79672079     30/03/2019     O3H-954
15559308     07/02/2020     W1S-239
30046639     12/08/2020     P6I-223
68310808     07/03/2019     X6M-077
67185679     28/06/2020     I2P-193
12270502     01/01/2020     Y5F-449
96693273     30/05/2019     B9X-420
67185679     16/07/2020     I2P-193
74325123     16/08/2019     C2V-710
15559308     27/09/2019     T8F-368
32090869     18/10/2019     L4B-291
29989682     03/12/2019     W3T-571
58992942     05/05/2020     Q6B-243
85501710     21/01/2019     N2C-590
54447051     16/06/2019     D5W-773
87495937     16/05/2019     M5G-669
69252518     09/07/2019     Y0Y-415
38862473     24/08/2019     S6Y-726
79641328     20/03/2019     B4R-105
71832810     28/06/2019     T1K-210
87495937     15/02/2020     M5G-669
48450395     05/11/2019     H6H-085
87495937     08/02/2020     C5G-743
88167677     17/05/2020     B4C-100
64178096     26/04/2020     I0X-469
53374153     05/09/2019     R2T-476
30441350     20/08/2020     T7F-869
12858682     27/06/2019     T5L-371
85501710     26/07/2019     Z4K-431
19963454     07/11/2019     T9D-604
30441350     04/03/2019     X0F-315
75348522     16/08/2020     P5B-640
29833157     17/02/2019     I9F-484
31107104     19/06/2019     O3T-110
84186239     24/06/2020     T6W-978
73972114     04/02/2020     J2M-606
50201756     20/09/2020     K5K-595
25518120     21/03/2019     F2C-703
79672079     09/01/2019     O3H-954
87495937     16/10/2020     M5G-669
64532449     23/07/2020     J0V-437
77367073     14/01/2019     W4W-684
15559308     26/11/2019     S3L-803
47528229     14/08/2019     I4H-529
24859596     19/08/2020     L6D-758
52002275     15/09/2019     C0S-417
24859596     11/05/2020     A8P-118
15029228     30/05/2019     N0Z-560
15559308     23/02/2019     T8F-368
64178096     04/10/2019     I0X-469
74325123     07/10/2020     V9F-655
69252518     26/06/2019     Y0Y-415
54447051     01/10/2019     G3Y-654
79766395     02/11/2019     H7P-047
64178096     12/03/2020     I0X-469
49927087     09/03/2020     G7B-252
71578206     12/12/2020     L4H-670
43454884     17/03/2019     P6Z-734
99950484     17/10/2019     X0R-946
34248357     07/02/2019     U0T-459
70414420     04/01/2019     V9J-051
85501710     24/08/2020     N2C-590
87282766     06/02/2020     S1D-093
34976629     17/12/2019     I0Y-720
13219606     10/05/2020     T3B-722
96693273     15/04/2020     C0G-556
96693273     19/03/2020     B9X-420
30441350     23/11/2020     M9Z-497
34248357     18/04/2020     H4R-733
77367073     28/09/2020     H9A-097
60335381     04/02/2020     B3U-845
68303148     28/10/2020     H1W-140
27864822     30/03/2019     T9U-338
81485316     14/07/2019     F1O-596
38862473     05/03/2020     S6Y-726
54447051     28/09/2019     U5L-205
60335381     22/09/2020     B3U-845
77367073     17/01/2019     N7K-403
34248357     20/09/2020     H4R-733
32090869     08/04/2020     L4B-291
43454884     13/11/2020     G0F-080
27864822     18/07/2019     T9U-338
88854166     22/07/2020     L3N-150
70414420     11/03/2019     U5T-348
36079131     08/07/2020     H5S-788
79766395     24/06/2020     H7P-047
79766395     30/10/2020     T3R-184
32090869     27/09/2020     L4B-291
74325123     24/05/2020     V9F-655
26522329     15/05/2019     W7R-114
79672079     27/03/2020     R7U-941
54141214     30/08/2020     J7Y-327
80457845     18/02/2019     Z5G-762
35912665     25/04/2019     O2Z-308
79672079     05/04/2020     O3H-954
12270502     11/10/2020     O1C-880
47528229     09/11/2020     I4H-529
42956681     10/07/2019     E0L-862
73357516     21/05/2019     E6R-293
97849227     02/08/2020     I0K-077
79641328     19/11/2019     L0L-653
68310808     30/03/2020     K2N-341
71578206     21/06/2019     G7Z-721
